"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"13";"USDJPY_M1_UTC2";"Buy";"2020.01.13 11:04:00";"109.738";"0,01000";"2020.01.17 19:00:00";"110.151";"2,63";"502,63";"IST";"End Of Friday (Time)";"0,00";"3,52";"4d 7h 56m";"";"109.738";"2020.01.13 00:00:00";"109,33800";"110,63800";"Main: USDJPY_M1_UTC2/H1";"0,00";"55,20"
"16";"USDJPY_M1_UTC2";"Sell";"2020.01.21 03:20:00";"110.008";"0,01000";"2020.01.24 19:00:00";"109.365";"4,10";"506,73";"IST";"End Of Friday (Time)";"-0,90";"4,54";"3d 15h 40m";"";"110.008";"2020.01.21 00:00:00";"110,40800";"109,10800";"Main: USDJPY_M1_UTC2/H1";"14,20";"71,20"
"48";"USDJPY_M1_UTC2";"Buy";"2020.02.19 13:11:00";"110.407";"0,01000";"2020.02.19 18:38:00";"111.307";"5,74";"512,47";"IST";"PT";"-0,32";"5,74";"5h 27m";"";"110.407";"2020.02.19 00:00:00";"110,00700";"111,30700";"Main: USDJPY_M1_UTC2/H1";"5,00";"90,00"
"49";"USDJPY_M1_UTC2";"Buy";"2020.02.20 09:31:00";"111.867";"0,01000";"2020.02.21 19:00:00";"111.732";"-0,86";"511,60";"IST";"End Of Friday (Time)";"-2,52";"2,28";"1d 9h 29m";"";"111.867";"2020.02.19 19:00:00";"111,46700";"112,76700";"Main: USDJPY_M1_UTC2/H1";"39,50";"35,70"
"67";"USDJPY_M1_UTC2";"Sell";"2020.03.05 23:00:00";"105.979";"0,01000";"2020.03.06 12:10:00";"105.079";"5,74";"517,34";"IST";"PT";"-2,50";"5,74";"13h 10m";"";"105.979";"2020.03.05 15:00:00";"106,37900";"105,07900";"Main: USDJPY_M1_UTC2/H1";"39,30";"90,00"
"139";"USDJPY_M1_UTC2";"Buy";"2020.04.30 22:10:00";"107.273";"0,01000";"2020.05.01 11:06:00";"106.863";"-2,61";"514,73";"IST";"SL";"-2,61";"1,44";"12h 56m";"";"107.273";"2020.04.30 18:00:00";"106,87300";"108,17300";"Main: USDJPY_M1_UTC2/H1";"41,00";"22,60"
"183";"USDJPY_M1_UTC2";"Buy";"2020.06.02 15:18:00";"108.281";"0,01000";"2020.06.04 23:09:00";"109.181";"5,74";"520,46";"IST";"PT";"-0,27";"5,74";"2d 7h 51m";"";"108.281";"2020.06.02 15:00:00";"107,88100";"109,18100";"Main: USDJPY_M1_UTC2/H1";"4,20";"90,00"
"187";"USDJPY_M1_UTC2";"Sell";"2020.06.08 20:08:00";"108.246";"0,01000";"2020.06.10 10:31:00";"107.346";"5,74";"526,20";"IST";"PT";"-2,08";"5,74";"1d 14h 23m";"";"108.246";"2020.06.08 15:00:00";"108,64600";"107,34600";"Main: USDJPY_M1_UTC2/H1";"32,60";"90,00"
"219";"USDJPY_M1_UTC2";"Buy";"2020.07.06 03:59:00";"107.703";"0,01000";"2020.07.06 21:40:00";"107.293";"-2,61";"523,59";"IST";"SL";"-2,61";"0,44";"17h 41m";"";"107.703";"2020.07.06 00:00:00";"107,30300";"108,60300";"Main: USDJPY_M1_UTC2/H1";"41,00";"6,90"
"240";"USDJPY_M1_UTC2";"Sell";"2020.07.21 19:47:00";"106.757";"0,01000";"2020.07.22 16:17:00";"107.167";"-2,61";"520,97";"IST";"SL";"-2,61";"0,29";"20h 30m";"";"106.757";"2020.07.21 15:00:00";"107,15700";"105,85700";"Main: USDJPY_M1_UTC2/H1";"41,00";"4,60"
"243";"USDJPY_M1_UTC2";"Sell";"2020.07.24 03:20:00";"106.678";"0,01000";"2020.07.24 19:00:00";"105.832";"5,39";"526,36";"IST";"End Of Friday (Time)";"-0,05";"5,65";"15h 40m";"";"106.678";"2020.07.23 15:00:00";"107,07800";"105,77800";"Main: USDJPY_M1_UTC2/H1";"0,80";"88,60"
"261";"USDJPY_M1_UTC2";"Buy";"2020.08.07 17:25:00";"106.073";"0,01000";"2020.08.07 19:00:00";"105.907";"-1,06";"525,31";"IST";"End Of Friday (Time)";"-1,87";"0,00";"1h 35m";"";"106.073";"2020.08.07 12:00:00";"105,67300";"106,97300";"Main: USDJPY_M1_UTC2/H1";"29,30";"0,00"
"300";"USDJPY_M1_UTC2";"Sell";"2020.09.08 15:42:00";"105.973";"0,01000";"2020.09.11 19:00:00";"106.211";"-1,52";"523,79";"IST";"End Of Friday (Time)";"-2,29";"0,98";"3d 3h 18m";"";"105.973";"2020.09.08 06:00:00";"106,37300";"105,07300";"Main: USDJPY_M1_UTC2/H1";"35,90";"15,30"
"302";"USDJPY_M1_UTC2";"Sell";"2020.09.14 16:45:00";"105.648";"0,01000";"2020.09.17 10:36:00";"104.748";"5,74";"529,52";"IST";"PT";"-1,25";"5,74";"2d 17h 51m";"";"105.648";"2020.09.14 15:00:00";"106,04800";"104,74800";"Main: USDJPY_M1_UTC2/H1";"19,60";"90,00"
"329";"USDJPY_M1_UTC2";"Buy";"2020.10.07 12:02:00";"106.032";"0,01000";"2020.10.09 17:57:00";"105.622";"-2,61";"526,91";"IST";"SL";"-2,61";"0,48";"2d 5h 55m";"";"106.032";"2020.10.07 00:00:00";"105,63200";"106,93200";"Main: USDJPY_M1_UTC2/H1";"41,00";"7,50"
"342";"USDJPY_M1_UTC2";"Buy";"2020.10.20 03:15:00";"105.582";"0,01000";"2020.10.21 10:10:00";"105.172";"-2,61";"524,30";"IST";"SL";"-2,61";"1,05";"1d 6h 55m";"";"105.582";"2020.10.19 15:00:00";"105,18200";"106,48200";"Main: USDJPY_M1_UTC2/H1";"41,00";"16,50"
"344";"USDJPY_M1_UTC2";"Sell";"2020.10.21 17:18:00";"104.482";"0,01000";"2020.10.22 17:45:00";"104.892";"-2,61";"521,69";"IST";"SL";"-2,61";"0,71";"1d 0h 27m";"";"104.482";"2020.10.21 11:00:00";"104,88200";"103,58200";"Main: USDJPY_M1_UTC2/H1";"41,00";"11,10"
"369";"USDJPY_M1_UTC2";"Buy";"2020.11.09 16:33:00";"105.012";"0,01000";"2020.11.13 18:09:00";"104.602";"-2,61";"519,07";"IST";"SL";"-2,61";"4,23";"4d 1h 36m";"";"105.012";"2020.11.09 16:00:00";"104,61200";"105,91200";"Main: USDJPY_M1_UTC2/H1";"41,00";"66,40"
"378";"USDJPY_M1_UTC2";"Sell";"2020.11.23 03:18:00";"103.732";"0,01000";"2020.11.23 17:01:00";"104.142";"-2,61";"516,46";"IST";"SL";"-2,61";"0,14";"13h 43m";"";"103.732";"2020.11.23 01:00:00";"104,13200";"102,83200";"Main: USDJPY_M1_UTC2/H1";"41,00";"2,20"
"391";"USDJPY_M1_UTC2";"Buy";"2020.12.02 10:59:00";"104.672";"0,01000";"2020.12.03 10:01:00";"104.262";"-2,61";"513,85";"IST";"SL";"-2,61";"0,50";"23h 2m";"";"104.672";"2020.12.02 00:00:00";"104,27200";"105,57200";"Main: USDJPY_M1_UTC2/H1";"41,00";"7,90"
"441";"USDJPY_M1_UTC2";"Sell";"2021.01.13 02:13:00";"103.672";"0,01000";"2021.01.14 04:29:00";"104.082";"-2,61";"511,24";"IST";"SL";"-2,61";"0,75";"1d 2h 16m";"";"103.672";"2021.01.12 21:00:00";"104,07200";"102,77200";"Main: USDJPY_M1_UTC2/H1";"41,00";"11,70"
