"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"USDJPY_M1_UTC2";"Buy";"2020.01.09 12:00:00";"109.472";"0,01000";"2020.01.10 19:00:00";"109.492";"0,13";"500,13";"IST";"End Of Friday (Time)";"-0,99";"1,38";"1d 7h 0m";"";"109.472";"2020.01.09 04:00:00";"109,02200";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"15,50";"21,70"
"3";"USDJPY_M1_UTC2";"Buy";"2020.02.12 10:32:00";"110.021";"0,01000";"2020.02.14 19:00:00";"109.759";"-1,67";"498,46";"IST";"End Of Friday (Time)";"-2,56";"0,71";"2d 8h 28m";"";"110.021";"2020.02.11 20:00:00";"109,57100";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"40,20";"11,20"
"6";"USDJPY_M1_UTC2";"Buy";"2020.02.19 04:17:00";"110.133";"0,01000";"2020.02.21 19:00:00";"111.732";"10,19";"508,65";"IST";"End Of Friday (Time)";"-0,80";"13,33";"2d 14h 43m";"";"110.133";"2020.02.19 04:00:00";"109,68300";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"12,60";"209,10"
"13";"USDJPY_M1_UTC2";"Sell";"2020.04.27 07:36:00";"107.281";"0,01000";"2020.05.01 19:00:00";"106.807";"3,02";"511,67";"IST";"End Of Friday (Time)";"-1,58";"5,70";"4d 11h 24m";"";"107.281";"2020.04.27 04:00:00";"107,73100";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"24,80";"89,40"
"14";"USDJPY_M1_UTC2";"Sell";"2020.05.06 03:10:00";"106.357";"0,01000";"2020.05.08 19:00:00";"106.552";"-1,24";"510,43";"IST";"End Of Friday (Time)";"-2,52";"2,17";"2d 15h 50m";"";"106.357";"2020.05.04 00:05:00";"106,80700";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"39,60";"34,10"
"19";"USDJPY_M1_UTC2";"Buy";"2020.06.02 14:54:00";"107.947";"0,01000";"2020.06.05 19:00:00";"109.672";"10,99";"521,42";"IST";"End Of Friday (Time)";"-0,31";"12,12";"3d 4h 6m";"";"107.947";"2020.06.01 04:00:00";"107,49700";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"4,90";"190,20"
"21";"USDJPY_M1_UTC2";"Sell";"2020.06.10 09:57:00";"107.376";"0,01000";"2020.06.12 19:00:00";"107.409";"-0,21";"521,21";"IST";"End Of Friday (Time)";"-1,31";"4,94";"2d 9h 3m";"";"107.376";"2020.06.09 04:00:00";"107,82600";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"20,60";"77,50"
"35";"USDJPY_M1_UTC2";"Sell";"2020.07.24 03:20:00";"106.666";"0,01000";"2020.07.24 19:00:00";"105.832";"5,31";"526,52";"IST";"End Of Friday (Time)";"-0,13";"5,57";"15h 40m";"";"106.666";"2020.07.23 20:00:00";"107,11600";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"2,00";"87,40"
"37";"USDJPY_M1_UTC2";"Sell";"2020.08.18 04:49:00";"105.708";"0,01000";"2020.08.19 23:31:00";"106.168";"-2,93";"523,59";"IST";"SL";"-2,93";"3,68";"1d 18h 42m";"";"105.708";"2020.08.17 04:00:00";"106,15800";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"46,00";"57,70"
"42";"USDJPY_M1_UTC2";"Sell";"2020.09.14 16:33:00";"105.790";"0,01000";"2020.09.18 19:00:00";"104.484";"8,32";"531,91";"IST";"End Of Friday (Time)";"-0,34";"9,48";"4d 2h 27m";"";"105.790";"2020.09.14 04:00:00";"106,24000";"-100000000,00000";"Main: USDJPY_M1_UTC2/H4";"5,40";"148,80"
