"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"XAUUSD_M1_UTC2";"Buy";"2020.01.02 15:46:00";"1526.46";"0,01000";"2020.01.02 18:54:00";"1526.06";"-0,40";"499,60";"IST";"MoveSL2BE";"-0,84";"4,87";"3h 8m";"";"1526.46";"2020.01.02 01:00:00";"1482,56006";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"84,20";"486,80"
"4";"XAUUSD_M1_UTC2";"Buy";"2020.01.08 01:22:00";"1582.06";"0,01000";"2020.01.08 02:58:00";"1600.49";"18,43";"518,03";"IST";"TrailingStop";"0,00";"29,26";"1h 36m";"";"1582.06";"2020.01.06 20:30:00";"1538,16003";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"0,00";"2926,50"
"14";"XAUUSD_M1_UTC2";"Buy";"2020.01.24 17:11:00";"1568.99";"0,01000";"2020.01.24 18:04:00";"1568.59";"-0,40";"517,63";"IST";"MoveSL2BE";"-1,90";"6,44";"53m 0s";"";"1568.99";"2020.01.24 13:30:00";"1525,08997";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"190,20";"644,50"
"18";"XAUUSD_M1_UTC2";"Buy";"2020.01.31 17:50:00";"1588.35";"0,01000";"2020.01.31 21:00:00";"1585.17";"-3,18";"514,45";"IST";"End Of Friday (Time)";"-7,64";"0,72";"3h 10m";"";"1588.35";"2020.01.31 02:00:00";"1544,44995";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"764,50";"71,80"
"19";"XAUUSD_M1_UTC2";"Sell";"2020.02.04 19:38:00";"1549.89";"0,01000";"2020.02.05 17:27:00";"1558.62";"-8,73";"505,72";"IST";"TrailingStop";"-13,08";"1,87";"21h 49m";"";"1549.89";"2020.02.03 01:00:00";"1593,79004";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"1307,80";"186,50"
"26";"XAUUSD_M1_UTC2";"Buy";"2020.02.14 15:42:00";"1579.18";"0,01000";"2020.02.14 21:00:00";"1583.45";"4,27";"509,99";"IST";"End Of Friday (Time)";"-1,42";"4,89";"5h 18m";"";"1579.18";"2020.02.14 07:30:00";"1535,28003";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"142,50";"488,80"
"28";"XAUUSD_M1_UTC2";"Buy";"2020.02.18 01:02:00";"1585.47";"0,01000";"2020.02.20 09:22:00";"1603.45";"17,98";"527,97";"IST";"TrailingStop";"-2,22";"27,42";"2d 8h 20m";"";"1585.47";"2020.02.17 12:30:00";"1541,56995";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"222,20";"2741,80"
"29";"XAUUSD_M1_UTC2";"Buy";"2020.02.20 13:44:00";"1614.71";"0,01000";"2020.02.20 16:18:00";"1614.31";"-0,40";"527,57";"IST";"MoveSL2BE";"-0,85";"4,37";"2h 34m";"";"1614.71";"2020.02.20 11:30:00";"1570,81006";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"85,50";"436,80"
"33";"XAUUSD_M1_UTC2";"Sell";"2020.02.28 17:41:00";"1578.26";"0,01000";"2020.02.28 20:50:00";"1577.65";"0,61";"528,18";"IST";"TrailingStop";"-17,70";"14,81";"3h 9m";"";"1578.26";"2020.02.26 23:30:00";"1622,16003";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"1770,50";"1481,20"
"37";"XAUUSD_M1_UTC2";"Buy";"2020.03.05 19:46:00";"1667.06";"0,01000";"2020.03.06 08:33:00";"1670.34";"3,28";"531,46";"IST";"TrailingStop";"-2,14";"13,91";"12h 47m";"";"1667.06";"2020.03.04 20:00:00";"1623,16003";"-100000000,00000";"Main: XAUUSD_M1_UTC2/M30";"214,20";"1390,80"
