"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"2";"XAUUSD_M1_UTC2";"Buy";"2020.01.03 02:07:00";"1530.03";"0,01000";"2020.01.03 15:03:00";"1543.46";"13,43";"513,43";"IST";"TrailingStop";"-1,06";"21,41";"12h 56m";"";"1530.03";"2020.01.02 21:30:00";"1508,63000";"1562,28003";"Main: XAUUSD_M1_UTC2/M30";"106,20";"2141,50"
"5";"XAUUSD_M1_UTC2";"Buy";"2020.01.06 03:02:00";"1572.68";"0,01000";"2020.01.06 09:07:00";"1572.88";"0,20";"513,63";"IST";"TrailingStop";"-1,58";"7,28";"6h 5m";"";"1572.68";"2020.01.06 03:00:00";"1551,28003";"1604,93005";"Main: XAUUSD_M1_UTC2/M30";"158,20";"728,50"
"9";"XAUUSD_M1_UTC2";"Buy";"2020.01.08 01:05:00";"1578.38";"0,01000";"2020.01.08 02:27:00";"1610.63";"32,25";"545,88";"IST";"PT";"-3,02";"32,25";"1h 22m";"";"1578.38";"2020.01.07 21:00:00";"1556,97998";"1610,63000";"Main: XAUUSD_M1_UTC2/M30";"302,50";"3225,00"
"43";"XAUUSD_M1_UTC2";"Buy";"2020.01.23 18:32:00";"1567.28";"0,01000";"2020.01.24 18:02:00";"1568.93";"1,65";"547,53";"IST";"TrailingStop";"-10,82";"8,15";"23h 30m";"";"1567.28";"2020.01.23 18:30:00";"1545,88000";"1599,53003";"Main: XAUUSD_M1_UTC2/M30";"1082,50";"815,50"
"56";"XAUUSD_M1_UTC2";"Buy";"2020.01.31 16:51:00";"1584.82";"0,01000";"2020.01.31 18:56:00";"1582.48";"-2,34";"545,19";"IST";"TrailingStop";"-3,14";"4,25";"2h 5m";"";"1584.82";"2020.01.31 12:00:00";"1563,42004";"1617,06995";"Main: XAUUSD_M1_UTC2/M30";"314,20";"424,80"
"82";"XAUUSD_M1_UTC2";"Buy";"2020.02.13 11:28:00";"1576.09";"0,01000";"2020.02.14 19:00:00";"1581.04";"4,95";"550,14";"IST";"End Of Friday (Time)";"-4,30";"6,72";"1d 7h 32m";"";"1576.09";"2020.02.13 11:00:00";"1554,68994";"1608,33997";"Main: XAUUSD_M1_UTC2/M30";"430,20";"672,50"
"83";"XAUUSD_M1_UTC2";"Buy";"2020.02.17 02:09:00";"1584.13";"0,01000";"2020.02.19 15:46:00";"1603.86";"19,73";"569,87";"IST";"TrailingStop";"-5,33";"27,08";"2d 13h 37m";"";"1584.13";"2020.02.17 02:00:00";"1562,72998";"1616,38000";"Main: XAUUSD_M1_UTC2/M30";"533,20";"2707,80"
"85";"XAUUSD_M1_UTC2";"Buy";"2020.02.19 22:37:00";"1610.33";"0,01000";"2020.02.20 03:02:00";"1606.95";"-3,38";"566,49";"IST";"TrailingStop";"-3,38";"2,56";"4h 25m";"";"1610.33";"2020.02.19 22:00:00";"1588,93005";"1642,57996";"Main: XAUUSD_M1_UTC2/M30";"338,00";"255,80"
"89";"XAUUSD_M1_UTC2";"Buy";"2020.02.21 03:52:00";"1621.74";"0,01000";"2020.02.21 18:41:00";"1638.74";"17,00";"583,49";"IST";"TrailingStop";"-0,88";"27,42";"14h 49m";"";"1621.74";"2020.02.21 03:30:00";"1600,33997";"1653,98999";"Main: XAUUSD_M1_UTC2/M30";"87,50";"2742,50"
"91";"XAUUSD_M1_UTC2";"Buy";"2020.02.24 03:10:00";"1666.18";"0,01000";"2020.02.24 11:48:00";"1682.27";"16,09";"599,58";"IST";"TrailingStop";"-7,32";"23,07";"8h 38m";"";"1666.18";"2020.02.24 03:00:00";"1644,78003";"1698,43005";"Main: XAUUSD_M1_UTC2/M30";"731,50";"2307,50"
"112";"XAUUSD_M1_UTC2";"Buy";"2020.03.05 12:12:00";"1647.48";"0,01000";"2020.03.06 03:48:00";"1668.62";"21,14";"620,72";"IST";"TrailingStop";"-2,94";"28,99";"15h 36m";"";"1647.48";"2020.03.05 07:30:00";"1626,07996";"1679,72998";"Main: XAUUSD_M1_UTC2/M30";"294,50";"2899,50"
