"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"4";"XAUUSD_M1_UTC2";"Buy";"2020.01.02 14:50:00";"1523.93";"0,01000";"2020.01.03 19:00:00";"1547.75";"23,82";"523,82";"IST";"End Of Friday (Time)";"-1,28";"27,51";"1d 4h 10m";"";"1523.93";"2020.01.02 11:00:00";"1511,38000";"1573,03003";"Main: XAUUSD_M1_UTC2/M30";"128,20";"2751,50"
"6";"XAUUSD_M1_UTC2";"Buy";"2020.01.06 03:11:00";"1576.65";"0,01000";"2020.01.06 17:26:00";"1569.38";"-7,27";"516,55";"IST";"TrailingStop";"-7,27";"3,31";"14h 15m";"";"1576.65";"2020.01.06 02:00:00";"1564,09998";"1625,75000";"Main: XAUUSD_M1_UTC2/M30";"727,00";"331,50"
"169";"XAUUSD_M1_UTC2";"Buy";"2020.02.18 18:25:00";"1605.28";"0,01000";"2020.02.20 09:22:00";"1603.45";"-1,83";"514,72";"IST";"TrailingStop";"-5,82";"7,61";"1d 14h 57m";"";"1605.28";"2020.02.18 11:30:00";"1592,72998";"1654,38000";"Main: XAUUSD_M1_UTC2/M30";"582,50";"760,80"
"205";"XAUUSD_M1_UTC2";"Sell";"2020.02.28 17:32:00";"1600.50";"0,01000";"2020.02.28 18:42:00";"1593.67";"6,83";"521,55";"IST";"TrailingStop";"-2,01";"28,64";"1h 10m";"";"1600.50";"2020.02.28 14:30:00";"1613,05005";"1551,40002";"Main: XAUUSD_M1_UTC2/M30";"200,80";"2863,50"
"319";"XAUUSD_M1_UTC2";"Buy";"2020.03.31 16:36:00";"1611.98";"0,01000";"2020.03.31 19:33:00";"1599.03";"-12,95";"508,60";"IST";"SL";"-12,95";"1,48";"2h 57m";"";"1611.98";"2020.03.31 15:30:00";"1599,43005";"1661,07996";"Main: XAUUSD_M1_UTC2/M30";"1295,00";"147,80"
"357";"XAUUSD_M1_UTC2";"Buy";"2020.04.09 18:55:00";"1682.90";"0,01000";"2020.04.09 21:04:00";"1677.40";"-5,50";"503,10";"IST";"TrailingStop";"-5,50";"7,05";"2h 9m";"";"1682.90";"2020.04.09 18:30:00";"1670,34998";"1732,00000";"Main: XAUUSD_M1_UTC2/M30";"550,00";"704,80"
"359";"XAUUSD_M1_UTC2";"Buy";"2020.04.13 01:10:00";"1687.79";"0,01000";"2020.04.13 23:50:00";"1711.86";"24,07";"527,17";"IST";"TrailingStop";"-8,94";"34,76";"22h 40m";"";"1687.79";"2020.04.13 01:00:00";"1675,23999";"1736,89001";"Main: XAUUSD_M1_UTC2/M30";"894,20";"3475,80"
"616";"XAUUSD_M1_UTC2";"Buy";"2020.06.19 18:14:00";"1743.36";"0,01000";"2020.06.19 19:00:00";"1741.67";"-1,69";"525,48";"IST";"End Of Friday (Time)";"-4,86";"1,81";"46m 0s";"";"1743.36";"2020.06.19 13:00:00";"1730,81006";"1792,45996";"Main: XAUUSD_M1_UTC2/M30";"486,50";"180,80"
"618";"XAUUSD_M1_UTC2";"Buy";"2020.06.22 04:49:00";"1757.64";"0,01000";"2020.06.22 06:10:00";"1748.73";"-8,91";"516,57";"IST";"TrailingStop";"-8,91";"0,96";"1h 21m";"";"1757.64";"2020.06.22 01:00:00";"1745,08997";"1806,73999";"Main: XAUUSD_M1_UTC2/M30";"891,00";"95,80"
"646";"XAUUSD_M1_UTC2";"Buy";"2020.06.29 03:58:00";"1775.38";"0,01000";"2020.07.01 14:35:00";"1778.41";"3,03";"519,60";"IST";"TrailingStop";"-10,95";"13,63";"2d 10h 37m";"";"1775.38";"2020.06.29 01:30:00";"1762,82996";"1824,47998";"Main: XAUUSD_M1_UTC2/M30";"1095,50";"1362,80"
