"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"XAUUSD_M1_UTC2";"Buy";"2020.01.02 15:12:00";"1524.44";"0,01000";"2020.01.03 13:43:00";"1550.64";"26,20";"526,20";"IST";"PT";"-1,72";"26,20";"22h 31m";"";"1524.44";"2020.01.02 05:00:00";"1505,83997";"1550,64001";"Main: XAUUSD_M1_UTC2/H1";"172,50";"2620,00"
"3";"XAUUSD_M1_UTC2";"Buy";"2020.01.08 01:05:00";"1578.77";"0,01000";"2020.01.08 02:18:00";"1604.97";"26,20";"552,40";"IST";"PT";"-3,41";"26,20";"1h 13m";"";"1578.77";"2020.01.07 10:00:00";"1560,17004";"1604,96997";"Main: XAUUSD_M1_UTC2/H1";"341,50";"2620,00"
"4";"XAUUSD_M1_UTC2";"Sell";"2020.01.08 18:40:00";"1557.83";"0,01000";"2020.01.10 19:00:00";"1560.92";"-3,09";"549,31";"IST";"End Of Friday (Time)";"-4,98";"17,13";"2d 0h 20m";"";"1557.83";"2020.01.08 06:00:00";"1576,43005";"1531,63000";"Main: XAUUSD_M1_UTC2/H1";"497,80";"1712,50"
"12";"XAUUSD_M1_UTC2";"Sell";"2020.01.21 16:14:00";"1549.90";"0,01000";"2020.01.24 17:11:00";"1568.90";"-19,00";"530,31";"IST";"SL";"-19,00";"3,06";"3d 0h 57m";"";"1549.90";"2020.01.21 10:00:00";"1568,50000";"1523,69995";"Main: XAUUSD_M1_UTC2/H1";"1900,00";"306,20"
"16";"XAUUSD_M1_UTC2";"Buy";"2020.01.31 16:51:00";"1584.78";"0,01000";"2020.01.31 19:00:00";"1582.26";"-2,52";"527,79";"IST";"End Of Friday (Time)";"-3,10";"4,29";"2h 9m";"";"1584.78";"2020.01.31 12:00:00";"1566,18005";"1610,97998";"Main: XAUUSD_M1_UTC2/H1";"310,20";"428,80"
"17";"XAUUSD_M1_UTC2";"Sell";"2020.02.03 17:00:00";"1571.64";"0,01000";"2020.02.07 19:00:00";"1568.75";"2,89";"530,68";"IST";"End Of Friday (Time)";"-8,62";"23,61";"4d 2h 0m";"";"1571.64";"2020.02.03 05:00:00";"1590,23999";"1545,43994";"Main: XAUUSD_M1_UTC2/H1";"861,80";"2361,50"
"21";"XAUUSD_M1_UTC2";"Buy";"2020.02.13 10:00:00";"1576.36";"0,01000";"2020.02.14 19:00:00";"1581.04";"4,68";"535,36";"IST";"End Of Friday (Time)";"-4,57";"6,45";"1d 9h 0m";"";"1576.36";"2020.02.12 14:00:00";"1557,76001";"1602,56006";"Main: XAUUSD_M1_UTC2/H1";"457,20";"645,50"
"26";"XAUUSD_M1_UTC2";"Sell";"2020.02.28 07:55:00";"1629.53";"0,01000";"2020.02.28 17:31:00";"1603.33";"26,20";"561,56";"IST";"PT";"-12,35";"26,20";"9h 36m";"";"1629.53";"2020.02.27 20:00:00";"1648,13000";"1603,32996";"Main: XAUUSD_M1_UTC2/H1";"1234,80";"2620,00"
"33";"XAUUSD_M1_UTC2";"Sell";"2020.03.11 20:29:00";"1642.00";"0,01000";"2020.03.12 15:25:00";"1615.80";"26,20";"587,76";"IST";"PT";"-8,56";"26,20";"18h 56m";"";"1642.00";"2020.03.11 14:00:00";"1660,59998";"1615,80005";"Main: XAUUSD_M1_UTC2/H1";"856,50";"2620,00"
"41";"XAUUSD_M1_UTC2";"Buy";"2020.03.26 16:10:00";"1630.11";"0,01000";"2020.03.27 19:00:00";"1623.65";"-6,46";"581,30";"IST";"End Of Friday (Time)";"-17,27";"14,94";"1d 2h 50m";"";"1630.11";"2020.03.26 13:00:00";"1611,51001";"1656,31006";"Main: XAUUSD_M1_UTC2/H1";"1727,20";"1494,20"
"50";"XAUUSD_M1_UTC2";"Sell";"2020.04.16 19:33:00";"1712.04";"0,01000";"2020.04.17 09:10:00";"1685.84";"26,20";"607,50";"IST";"PT";"-7,99";"26,20";"13h 37m";"";"1712.04";"2020.04.16 18:00:00";"1730,64001";"1685,83997";"Main: XAUUSD_M1_UTC2/H1";"798,80";"2620,00"
