"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"9";"XAUUSD_M1_UTC2";"Buy";"2020.01.03 07:31:00";"1541.86";"0,01000";"2020.01.03 19:00:00";"1547.75";"5,89";"505,89";"IST";"End Of Friday (Time)";"-1,75";"9,59";"11h 29m";"";"1541.86";"2020.01.03 05:00:00";"1522,01001";"1584,06006";"Main: XAUUSD_M1_UTC2/H1";"175,20";"958,50"
"11";"XAUUSD_M1_UTC2";"Buy";"2020.01.06 02:14:00";"1570.03";"0,01000";"2020.01.09 08:36:00";"1549.78";"-20,25";"485,64";"IST";"SL";"-20,25";"41,29";"3d 6h 22m";"";"1570.03";"2020.01.06 02:00:00";"1550,18005";"1612,22998";"Main: XAUUSD_M1_UTC2/H1";"2025,00";"4129,50"
"88";"XAUUSD_M1_UTC2";"Buy";"2020.01.23 19:44:00";"1568.22";"0,01000";"2020.01.24 19:00:00";"1572.10";"3,88";"489,52";"IST";"End Of Friday (Time)";"-11,76";"7,21";"23h 16m";"";"1568.22";"2020.01.23 15:00:00";"1548,37000";"1610,42004";"Main: XAUUSD_M1_UTC2/H1";"1176,50";"721,50"
"91";"XAUUSD_M1_UTC2";"Buy";"2020.01.27 11:12:00";"1581.62";"0,01000";"2020.01.31 19:00:00";"1582.26";"0,64";"490,16";"IST";"End Of Friday (Time)";"-18,28";"7,45";"4d 7h 48m";"";"1581.62";"2020.01.27 07:00:00";"1561,77002";"1623,81995";"Main: XAUUSD_M1_UTC2/H1";"1828,50";"744,80"
"103";"XAUUSD_M1_UTC2";"Sell";"2020.02.04 15:56:00";"1561.54";"0,01000";"2020.02.07 19:00:00";"1568.75";"-7,21";"482,95";"IST";"End Of Friday (Time)";"-13,07";"13,51";"3d 3h 4m";"";"1561.54";"2020.02.04 11:00:00";"1581,39001";"1519,33997";"Main: XAUUSD_M1_UTC2/H1";"1306,80";"1351,50"
"152";"XAUUSD_M1_UTC2";"Buy";"2020.02.18 18:12:00";"1602.68";"0,01000";"2020.02.21 15:47:00";"1644.88";"42,20";"525,15";"IST";"PT";"-3,22";"42,20";"2d 21h 35m";"";"1602.68";"2020.02.18 18:00:00";"1582,82996";"1644,88000";"Main: XAUUSD_M1_UTC2/H1";"322,50";"4220,00"
"188";"XAUUSD_M1_UTC2";"Sell";"2020.02.28 17:02:00";"1610.82";"0,01000";"2020.02.28 19:00:00";"1590.98";"19,84";"544,99";"IST";"End Of Friday (Time)";"-2,69";"38,96";"1h 58m";"";"1610.82";"2020.02.28 15:00:00";"1630,67004";"1568,62000";"Main: XAUUSD_M1_UTC2/H1";"269,50";"3895,50"
"252";"XAUUSD_M1_UTC2";"Sell";"2020.03.12 15:34:00";"1607.09";"0,01000";"2020.03.12 18:52:00";"1564.89";"42,20";"587,19";"IST";"PT";"-9,47";"42,20";"3h 18m";"";"1607.09";"2020.03.12 15:00:00";"1626,93994";"1564,89001";"Main: XAUUSD_M1_UTC2/H1";"946,50";"4220,00"
"253";"XAUUSD_M1_UTC2";"Sell";"2020.03.12 21:01:00";"1593.55";"0,01000";"2020.03.13 18:42:00";"1551.35";"42,20";"629,39";"IST";"PT";"-4,88";"42,20";"21h 41m";"";"1593.55";"2020.03.12 21:00:00";"1613,40002";"1551,34998";"Main: XAUUSD_M1_UTC2/H1";"487,50";"4220,00"
"293";"XAUUSD_M1_UTC2";"Buy";"2020.03.23 18:16:00";"1540.41";"0,01000";"2020.03.24 05:42:00";"1582.61";"42,20";"671,59";"IST";"PT";"-6,01";"42,20";"11h 26m";"";"1540.41";"2020.03.23 18:00:00";"1520,56006";"1582,60999";"Main: XAUUSD_M1_UTC2/H1";"601,20";"4220,00"
"335";"XAUUSD_M1_UTC2";"Sell";"2020.03.31 20:11:00";"1591.38";"0,01000";"2020.04.02 17:01:00";"1611.63";"-20,25";"651,34";"IST";"SL";"-20,25";"23,31";"1d 20h 50m";"";"1591.38";"2020.03.31 16:00:00";"1611,22998";"1549,18005";"Main: XAUUSD_M1_UTC2/H1";"2025,00";"2331,20"
"351";"XAUUSD_M1_UTC2";"Buy";"2020.04.06 21:01:00";"1657.82";"0,01000";"2020.04.13 01:00:00";"1685.82";"28,00";"679,34";"IST";"End Of Friday";"-17,42";"32,13";"6d 3h 59m";"";"1657.82";"2020.04.06 17:00:00";"1637,96997";"1700,02002";"Main: XAUUSD_M1_UTC2/H1";"1742,20";"3212,80"
"451";"XAUUSD_M1_UTC2";"Sell";"2020.04.30 21:45:00";"1683.01";"0,01000";"2020.05.01 19:00:00";"1696.51";"-13,50";"665,84";"IST";"End Of Friday (Time)";"-15,53";"11,99";"21h 15m";"";"1683.01";"2020.04.30 21:00:00";"1702,85999";"1640,81006";"Main: XAUUSD_M1_UTC2/H1";"1552,80";"1199,20"
"514";"XAUUSD_M1_UTC2";"Buy";"2020.05.14 16:58:00";"1730.50";"0,01000";"2020.05.15 19:00:00";"1748.16";"17,66";"683,50";"IST";"End Of Friday (Time)";"-2,14";"18,58";"1d 2h 2m";"";"1730.50";"2020.05.14 13:00:00";"1710,65002";"1772,69995";"Main: XAUUSD_M1_UTC2/H1";"214,20";"1858,50"
"608";"XAUUSD_M1_UTC2";"Sell";"2020.06.03 19:02:00";"1699.19";"0,01000";"2020.06.04 20:22:00";"1719.44";"-20,25";"663,25";"IST";"SL";"-20,25";"4,66";"1d 1h 20m";"";"1699.19";"2020.06.03 19:00:00";"1719,04004";"1656,98999";"Main: XAUUSD_M1_UTC2/H1";"2025,00";"465,50"
"686";"XAUUSD_M1_UTC2";"Buy";"2020.06.19 17:35:00";"1740.57";"0,01000";"2020.06.19 19:00:00";"1741.67";"1,10";"664,35";"IST";"End Of Friday (Time)";"-3,44";"4,60";"1h 25m";"";"1740.57";"2020.06.19 15:00:00";"1720,71997";"1782,77002";"Main: XAUUSD_M1_UTC2/H1";"344,20";"459,80"
"735";"XAUUSD_M1_UTC2";"Buy";"2020.06.30 18:19:00";"1785.98";"0,01000";"2020.07.01 16:54:00";"1765.73";"-20,25";"644,10";"IST";"SL";"-20,25";"3,03";"22h 35m";"";"1785.98";"2020.06.30 18:00:00";"1766,13000";"1828,18005";"Main: XAUUSD_M1_UTC2/H1";"2025,00";"302,80"
"765";"XAUUSD_M1_UTC2";"Buy";"2020.07.07 17:54:00";"1796.76";"0,01000";"2020.07.10 19:00:00";"1797.46";"0,70";"644,80";"IST";"End Of Friday (Time)";"-5,31";"21,09";"3d 1h 6m";"";"1796.76";"2020.07.07 15:00:00";"1776,91003";"1838,95996";"Main: XAUUSD_M1_UTC2/H1";"531,20";"2108,80"
"804";"XAUUSD_M1_UTC2";"Buy";"2020.07.20 17:40:00";"1820.50";"0,01000";"2020.07.22 04:13:00";"1862.70";"42,20";"687,00";"IST";"PT";"-5,84";"42,20";"1d 10h 33m";"";"1820.50";"2020.07.20 13:00:00";"1800,65002";"1862,69995";"Main: XAUUSD_M1_UTC2/H1";"583,50";"4220,00"
"806";"XAUUSD_M1_UTC2";"Buy";"2020.07.22 08:54:00";"1860.61";"0,01000";"2020.07.24 16:05:00";"1902.81";"42,20";"729,20";"IST";"PT";"-14,38";"42,20";"2d 7h 11m";"";"1860.61";"2020.07.22 07:00:00";"1840,76001";"1902,81006";"Main: XAUUSD_M1_UTC2/H1";"1437,50";"4220,00"
"856";"XAUUSD_M1_UTC2";"Buy";"2020.08.04 20:12:00";"2002.70";"0,01000";"2020.08.05 16:41:00";"2044.90";"42,20";"771,40";"IST";"PT";"-2,28";"42,20";"20h 29m";"";"2002.70";"2020.08.04 18:00:00";"1982,84998";"2044,90002";"Main: XAUUSD_M1_UTC2/H1";"227,50";"4220,00"
"883";"XAUUSD_M1_UTC2";"Sell";"2020.08.11 15:45:00";"1963.22";"0,01000";"2020.08.11 21:13:00";"1921.02";"42,20";"813,60";"IST";"PT";"-4,21";"42,20";"5h 28m";"";"1963.22";"2020.08.11 11:00:00";"1983,06995";"1921,02002";"Main: XAUUSD_M1_UTC2/H1";"420,80";"4220,00"
"886";"XAUUSD_M1_UTC2";"Sell";"2020.08.12 04:43:00";"1905.64";"0,01000";"2020.08.12 07:29:00";"1863.44";"42,20";"855,80";"IST";"PT";"-0,68";"42,20";"2h 46m";"";"1905.64";"2020.08.12 03:00:00";"1925,48999";"1863,43994";"Main: XAUUSD_M1_UTC2/H1";"67,50";"4220,00"
"969";"XAUUSD_M1_UTC2";"Buy";"2020.08.27 16:16:00";"1967.15";"0,01000";"2020.08.27 16:39:00";"1946.90";"-20,25";"835,55";"IST";"SL";"-20,25";"9,43";"23m 0s";"";"1967.15";"2020.08.27 14:00:00";"1947,30005";"2009,34998";"Main: XAUUSD_M1_UTC2/H1";"2025,00";"942,80"
"977";"XAUUSD_M1_UTC2";"Buy";"2020.08.28 18:35:00";"1972.19";"0,01000";"2020.08.28 19:00:00";"1967.89";"-4,30";"831,25";"IST";"End Of Friday (Time)";"-4,68";"0,67";"25m 0s";"";"1972.19";"2020.08.28 17:00:00";"1952,33997";"2014,39001";"Main: XAUUSD_M1_UTC2/H1";"467,50";"66,80"
