"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"XAUUSD_M1_UTC2";"Buy";"2020.01.02 15:40:00";"1525.97";"0,01000";"2020.01.02 19:21:00";"1523.40";"-2,57";"497,43";"IST";"TrailingStop";"-2,57";"5,36";"3h 41m";"";"1525.97";"2020.01.02 10:00:00";"1495,31995";"1561,42004";"Main: XAUUSD_M1_UTC2/H1";"257,00";"535,80"
"26";"XAUUSD_M1_UTC2";"Buy";"2020.01.21 03:17:00";"1563.41";"0,01000";"2020.01.21 09:56:00";"1559.50";"-3,91";"493,52";"IST";"TrailingStop";"-3,91";"5,10";"6h 39m";"";"1563.41";"2020.01.21 03:00:00";"1532,76001";"1598,85999";"Main: XAUUSD_M1_UTC2/H1";"391,00";"509,80"
"31";"XAUUSD_M1_UTC2";"Buy";"2020.01.24 17:11:00";"1568.99";"0,01000";"2020.01.24 21:00:00";"1572.35";"3,36";"496,88";"IST";"End Of Friday (Time)";"-1,90";"6,80";"3h 49m";"";"1568.99";"2020.01.24 10:00:00";"1538,33997";"1604,43994";"Main: XAUUSD_M1_UTC2/H1";"190,20";"679,50"
"41";"XAUUSD_M1_UTC2";"Buy";"2020.01.31 17:46:00";"1586.94";"0,01000";"2020.01.31 21:00:00";"1585.17";"-1,77";"495,11";"IST";"End Of Friday (Time)";"-6,23";"2,13";"3h 14m";"";"1586.94";"2020.01.30 16:00:00";"1556,29004";"1622,39001";"Main: XAUUSD_M1_UTC2/H1";"623,50";"212,80"
"43";"XAUUSD_M1_UTC2";"Sell";"2020.02.04 19:45:00";"1548.97";"0,01000";"2020.02.07 21:00:00";"1573.32";"-24,35";"470,76";"IST";"End Of Friday (Time)";"-25,64";"0,94";"3d 1h 15m";"";"1548.97";"2020.02.03 01:00:00";"1579,62000";"1513,52002";"Main: XAUUSD_M1_UTC2/H1";"2563,80";"94,50"
"60";"XAUUSD_M1_UTC2";"Buy";"2020.02.14 15:37:00";"1578.76";"0,01000";"2020.02.14 21:00:00";"1583.45";"4,69";"475,45";"IST";"End Of Friday (Time)";"-1,58";"5,31";"5h 23m";"";"1578.76";"2020.02.14 15:00:00";"1548,10999";"1614,20996";"Main: XAUUSD_M1_UTC2/H1";"158,20";"530,80"
"66";"XAUUSD_M1_UTC2";"Buy";"2020.02.19 22:49:00";"1611.90";"0,01000";"2020.02.20 03:11:00";"1606.01";"-5,89";"469,56";"IST";"TrailingStop";"-5,89";"0,99";"4h 22m";"";"1611.90";"2020.02.19 22:00:00";"1581,25000";"1647,34998";"Main: XAUUSD_M1_UTC2/H1";"589,00";"98,80"
"75";"XAUUSD_M1_UTC2";"Sell";"2020.02.28 17:41:00";"1574.23";"0,01000";"2020.02.28 21:00:00";"1575.02";"-0,79";"468,77";"IST";"End Of Friday (Time)";"-21,73";"10,78";"3h 19m";"";"1574.23";"2020.02.27 06:00:00";"1604,88000";"1538,78003";"Main: XAUUSD_M1_UTC2/H1";"2173,50";"1078,20"
"86";"XAUUSD_M1_UTC2";"Buy";"2020.03.06 06:58:00";"1679.66";"0,01000";"2020.03.06 15:35:00";"1670.85";"-8,81";"459,96";"IST";"TrailingStop";"-11,89";"10,22";"8h 37m";"";"1679.66";"2020.03.05 10:00:00";"1649,01001";"1715,10999";"Main: XAUUSD_M1_UTC2/H1";"1189,20";"1021,80"
"95";"XAUUSD_M1_UTC2";"Sell";"2020.03.12 18:51:00";"1566.76";"0,01000";"2020.03.12 20:00:00";"1597.81";"-31,05";"428,91";"IST";"SL";"-31,05";"5,65";"1h 9m";"";"1566.76";"2020.03.11 10:00:00";"1597,41003";"1531,31006";"Main: XAUUSD_M1_UTC2/H1";"3105,00";"565,20"
