"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"1";"XAUUSD_M1_UTC2";"Buy";"2020.03.26 19:53:00";"1639.18";"0,01000";"2020.03.31 11:44:00";"1607.46";"-31,72";"468,28";"IST";"SL";"-31,72";"5,87";"4d 15h 51m";"";"1639.18";"2020.03.26 08:00:00";"1607,45996";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"3172,00";"587,20"
"3";"XAUUSD_M1_UTC2";"Buy";"2020.04.02 15:11:00";"1599.99";"0,01000";"2020.04.15 02:13:00";"1722.55";"122,56";"590,84";"IST";"TrailingStop";"-1,81";"147,63";"12d 11h 2m";"";"1599.99";"2020.04.02 12:00:00";"1569,39001";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"181,20";"14763,50"
"4";"XAUUSD_M1_UTC2";"Buy";"2020.05.07 18:45:00";"1708.07";"0,01000";"2020.06.05 15:43:00";"1682.97";"-25,10";"565,74";"IST";"SL";"-25,10";"56,95";"28d 20h 58m";"";"1708.07";"2020.05.07 16:00:00";"1682,96997";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"2510,00";"5694,80"
"5";"XAUUSD_M1_UTC2";"Buy";"2020.06.09 15:40:00";"1715.99";"0,01000";"2020.06.24 16:20:00";"1763.06";"47,07";"612,81";"IST";"TrailingStop";"-11,97";"63,40";"15d 0h 40m";"";"1715.99";"2020.06.08 16:00:00";"1695,56006";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"1196,50";"6339,80"
"6";"XAUUSD_M1_UTC2";"Buy";"2020.08.24 15:04:00";"1955.77";"0,01000";"2020.08.24 18:06:00";"1927.91";"-27,86";"584,95";"IST";"SL";"-27,86";"6,02";"3h 2m";"";"1955.77";"2020.08.24 12:00:00";"1927,91003";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"2786,00";"601,80"
"7";"XAUUSD_M1_UTC2";"Buy";"2020.09.01 04:56:00";"1976.47";"0,01000";"2020.09.02 16:35:00";"1948.94";"-27,53";"557,42";"IST";"SL";"-27,53";"15,83";"1d 11h 39m";"";"1976.47";"2020.09.01 04:00:00";"1948,93994";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"2753,00";"1582,80"
"8";"XAUUSD_M1_UTC2";"Buy";"2020.09.09 16:58:00";"1947.66";"0,01000";"2020.09.21 15:39:00";"1920.78";"-26,88";"530,54";"IST";"SL";"-26,88";"25,81";"11d 22h 41m";"";"1947.66";"2020.09.07 16:00:00";"1920,78003";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"2688,00";"2580,80"
"10";"XAUUSD_M1_UTC2";"Buy";"2020.09.28 16:32:00";"1875.08";"0,01000";"2020.11.09 02:51:00";"1952.65";"77,57";"608,11";"IST";"TrailingStop";"-15,21";"85,12";"41d 10h 19m";"";"1875.08";"2020.09.28 16:00:00";"1850,37000";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"1521,20";"8511,80"
"13";"XAUUSD_M1_UTC2";"Buy";"2020.11.13 14:17:00";"1884.38";"0,01000";"2020.11.19 07:45:00";"1862.76";"-21,62";"586,49";"IST";"SL";"-21,62";"14,55";"5d 17h 28m";"";"1884.38";"2020.11.12 16:00:00";"1862,76001";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"2162,00";"1454,80"
"14";"XAUUSD_M1_UTC2";"Buy";"2020.11.20 16:03:00";"1873.97";"0,01000";"2020.11.23 16:49:00";"1853.59";"-20,38";"566,11";"IST";"SL";"-20,38";"5,65";"3d 0h 46m";"";"1873.97";"2020.11.20 08:00:00";"1853,58997";"-100000000,00000";"Main: XAUUSD_M1_UTC2/H4";"2038,00";"564,80"
