Magic,Symbol,TF,n_trades,MAE_ATR_mean,MFE_ATR_mean,E_Ratio_mean,MAE_ATR_median,MFE_ATR_median,E_Ratio_median
11011147,EURUSD,60,129,1.719202,2.536865,6.173958,1.626392,1.560870,1.081697
11012014,EURUSD,60,172,1.350102,2.342999,4.969904,1.299328,1.718262,1.335927
11012160,EURUSD,60,223,1.419897,2.326311,7.876397,1.308417,1.701626,1.302879
11019380,EURUSD,60,92,1.362744,2.676640,6.256934,1.101623,1.910182,2.154339
11042362,EURUSD,240,80,2.343047,4.212721,7.475184,1.853325,3.654154,2.032864
11151224,EURUSD,15,90,2.543965,3.493640,3.641480,2.340949,3.486378,1.630473
11151429,EURUSD,15,177,2.780758,3.654762,6.013844,2.760870,3.358962,1.366667
11151470,EURUSD,15,56,2.315414,3.281113,4.790634,1.487923,2.819033,1.949834
11153467,EURUSD,15,100,1.722280,2.048672,4.242475,1.340284,1.850023,1.651429
12011595,GBPUSD,60,179,1.395093,2.014612,5.018063,1.332682,1.414964,1.141786
17011049,USDJPY,60,92,1.930434,3.489049,5.367567,1.706257,2.215892,1.250353
17011586,USDJPY,60,180,2.308186,5.130010,5.064908,1.847507,2.058133,1.162791
17017650,USDJPY,60,336,1.998351,3.911248,30.506006,1.838812,2.249897,1.217350
17019963,USDJPY,60,148,1.842159,3.124574,7.180654,1.354254,1.771454,1.336511
20153090,EURJPY,15,263,2.533366,4.450288,4.138465,2.622576,2.932554,0.997062
20153210,EURJPY,15,134,5.118805,6.249631,5.406537,3.352550,6.228571,1.971061
20301733,EURJPY,30,184,2.872623,5.040511,7.563811,2.685200,3.723951,1.294357
22011049,GBPJPY,60,92,1.820382,4.691151,8.291027,1.810767,2.456432,1.447099
22011095,GBPJPY,60,150,1.397202,2.680354,9.379433,1.100966,1.608902,1.486979
22011586,GBPJPY,60,213,1.833344,4.412069,8.590002,1.540123,1.981867,1.226115
22011619,GBPJPY,60,288,2.728537,4.835518,5.712236,2.711474,3.556886,1.448790
22011865,GBPJPY,60,208,2.333064,3.655563,10.073020,2.559991,2.814113,0.900092
22012413,GBPJPY,60,170,2.321546,3.884069,6.491881,2.091627,3.427379,1.833046
22018200,GBPJPY,60,139,2.166686,3.821983,5.645570,2.084193,3.429736,1.529716
22042132,GBPJPY,240,142,1.542407,2.221305,8.062013,1.525206,1.529178,1.324547
22042161,GBPJPY,240,192,1.585755,2.442048,10.127184,1.381588,1.696531,1.238139
22043162,GBPJPY,240,156,1.361416,2.196660,5.919334,1.082318,1.471912,1.429862
22045560,GBPJPY,240,206,1.515167,2.171844,5.497329,1.379523,1.559130,1.034974
80011095,GER40,60,192,1.174969,2.475402,6.016973,0.827883,1.574959,1.774775
91014861,XAUUSD,60,187,1.285511,1.623955,6.360830,1.047079,1.210840,1.363926
91041141,XAUUSD,240,279,0.896880,0.975223,5.834234,0.805725,0.892871,1.154638
91303683,XAUUSD,30,400,1.465782,1.598198,5.697477,1.207444,1.472309,1.341873
110100038,EURUSD,60,16,1.677068,2.455934,3.151620,1.599844,1.632605,2.076087
110112110,EURUSD,60,351,1.341217,2.653852,9.439631,1.327061,1.873449,1.547927
110112125,EURUSD,60,22,1.945632,2.877840,3.547930,1.854534,2.417108,1.339771
110121182,EURUSD,60,31,1.517690,2.716432,5.836606,1.412804,1.833763,1.328488
110124169,EURUSD,60,32,1.525652,3.473877,4.195419,1.667347,2.143235,1.136258
110126113,EURUSD,60,25,1.250889,2.922582,9.936361,1.059102,1.913167,1.605140
110167100,EURUSD,60,175,1.749137,2.866362,11.078618,1.812993,1.950494,1.231334
110168186,EURUSD,60,36,1.958296,2.546705,4.123826,1.725871,1.860232,1.238229
110416170,EURUSD,240,19,0.754033,1.433787,6.911511,0.760422,0.880793,1.420497
110417191,EURUSD,240,25,1.591653,1.873966,14.829055,1.612950,1.998235,1.398556
110431441,EURUSD,240,39,1.399121,2.057510,8.965466,1.237597,1.553405,1.690875
111511114,EURUSD,15,26,3.186366,4.530935,25.378005,2.581121,3.838477,1.408759
111513100,EURUSD,15,17,2.389717,2.438101,4.051468,2.104784,1.982116,0.703833
111515104,EURUSD,15,28,2.549912,8.033321,6.762205,2.239122,2.714139,1.135417
111517147,EURUSD,15,28,2.628643,4.302417,2.943412,2.634305,3.750707,1.393436
111518105,EURUSD,15,44,2.884191,4.661326,3.417671,2.545455,4.066778,1.554545
111519117,EURUSD,15,18,2.204478,3.742194,23.332361,2.045026,2.455615,0.775087
111519159,EURUSD,15,33,1.966892,2.924905,3.528235,2.033923,1.996413,1.331169
111524138,EURUSD,15,16,1.901714,4.180876,2.984879,1.956429,2.590634,1.869565
111535115,EURUSD,15,35,3.622300,4.852315,3.244171,3.123077,4.323409,1.532009
111541079,EURUSD,15,17,1.644997,2.993419,5.871808,1.584352,2.106875,1.293286
111558157,EURUSD,15,29,8.240957,11.547654,11.880843,4.253877,11.480048,1.504131
111572150,EURUSD,15,42,2.035592,3.477477,2.701995,2.122340,3.187374,1.382576
112416190,EURUSD,1440,30,0.715512,1.354106,3.369793,0.579127,1.256410,2.169492
113014167,EURUSD,30,147,1.735223,3.067849,8.787380,1.589129,1.916427,1.377778
113016160,EURUSD,30,20,3.737548,3.282339,2.427618,3.622504,3.289459,0.933830
113023365,EURUSD,30,20,3.571607,5.081619,3.261027,3.619772,3.441860,1.201794
113023381,EURUSD,30,23,2.114142,3.487310,5.146672,1.758487,3.560400,1.385246
113031321,EURUSD,30,42,2.931354,4.604051,8.068612,2.285946,4.019593,1.777778
113034119,EURUSD,30,34,2.629342,4.628631,5.195430,2.318500,2.700053,1.355805
113039851,EURUSD,30,23,3.461423,4.732382,1.946788,3.693447,3.222395,1.531807
113044364,EURUSD,30,32,2.293200,3.044357,4.030813,2.337517,3.042791,1.261792
113072085,EURUSD,30,23,3.948802,4.836008,1.739378,2.851282,3.098574,1.202290
113085881,EURUSD,30,26,2.390333,4.144846,3.697448,1.804096,3.434022,1.348192
113097061,EURUSD,30,21,3.086678,5.245127,2.752132,3.233328,3.644319,1.061975
120112134,GBPUSD,60,16,1.571026,3.601365,9.166846,1.478152,2.170567,1.665269
120112185,GBPUSD,60,182,3.396018,3.856285,10.639978,2.768061,2.663336,1.026882
120113183,GBPUSD,60,25,3.358275,4.847046,5.079812,2.832791,2.280784,2.117808
120114185,GBPUSD,60,18,1.519006,2.082689,2.769490,1.574213,1.403296,0.745000
