Ticket,Magic,Symbol,TF,ATR_entry,MAE,MFE,MAE_ATR,MFE_ATR,E_Ratio_trade
199844754,91303683,XAUUSD,30,3.275714,1.340000,8.840000,0.409071,2.698648,6.597015
199957108,120100069,GBPUSD,60,0.001912,0.000240,0.006200,0.125514,3.242436,25.833333
200011270,120100069,GBPUSD,60,0.002301,0.005500,0.004080,2.390562,1.773362,0.741818
200026314,220156108,GBPJPY,60,,1.729000,3.838000,,,
200026315,203031880,EURJPY,30,0.195929,0.697000,2.230000,3.557419,11.381699,3.199426
200026317,220159174,GBPJPY,60,,1.576000,3.991000,,,
200026371,220141135,GBPJPY,60,0.325214,0.178000,3.115000,0.547331,9.578300,17.500000
200026372,223071158,GBPJPY,30,0.171071,1.613000,3.430000,9.428810,20.050104,2.126472
200026373,223038149,GBPJPY,30,0.173214,1.250000,0.339000,7.216495,1.957113,0.271200
200026499,223012186,GBPJPY,30,0.192071,1.632000,0.000000,8.496839,0.000000,0.000000
200026591,220112186,GBPJPY,60,0.285643,0.119000,3.523000,0.416604,12.333583,29.605042
200027002,220132119,GBPJPY,60,0.285643,0.232000,2.805000,0.812203,9.819955,12.090517
200027004,220131160,GBPJPY,60,,1.051000,0.864000,,,
200027416,223022483,GBPJPY,30,0.241214,0.140000,3.586000,0.580397,14.866450,25.614286
200027418,913065166,XAUUSD,30,3.731429,8.780000,5.340000,2.352986,1.431087,0.608200
200027966,220177157,GBPJPY,60,0.285643,0.153000,2.210000,0.535634,7.736934,14.444444
200027970,910143114,XAUUSD,60,5.472857,9.310000,20.420000,1.701122,3.731141,2.193340
200028015,910436106,XAUUSD,240,,9.540000,33.710000,,,
200029002,913065166,XAUUSD,30,5.527857,9.700000,7.900000,1.754749,1.429125,0.814433
200029233,223011130,GBPJPY,30,0.343786,2.016000,0.230000,5.864118,0.669021,0.114087
200036619,221510100,GBPJPY,15,0.226071,1.431000,0.097000,6.329858,0.429068,0.067785
200036622,220149150,GBPJPY,60,0.381500,1.452000,0.424000,3.806029,1.111402,0.292011
200040329,220163569,GBPJPY,60,0.381500,1.053000,0.006000,2.760157,0.015727,0.005698
200040330,220421159,GBPJPY,240,,2.017000,0.255000,,,
200040334,22042132,GBPJPY,240,,1.840000,0.188000,,,
200040350,22043162,GBPJPY,240,,2.272000,0.240000,,,
200040395,22045560,GBPJPY,240,,2.039000,0.115000,,,
200040396,22042161,GBPJPY,240,,2.004000,0.150000,,,
200041295,221518164,GBPJPY,15,0.226071,1.526000,0.076000,6.750079,0.336177,0.049803
200044022,221513194,GBPJPY,15,0.226071,1.644000,0.332000,7.272038,1.468562,0.201946
200044787,221585147,GBPJPY,15,0.213929,1.325000,0.454000,6.193656,2.122204,0.342642
200045077,120122468,GBPUSD,60,0.002301,0.005760,0.000310,2.503570,0.134741,0.053819
200045085,22012413,GBPJPY,60,0.381500,1.215000,0.215000,3.184797,0.563565,0.176955
200045091,220154117,GBPJPY,60,0.381500,1.370000,0.440000,3.591088,1.153342,0.321168
200047908,220118191,GBPJPY,60,0.381500,1.394000,0.416000,3.653997,1.090433,0.298422
200047910,91014861,XAUUSD,60,6.025000,11.830000,0.940000,1.963485,0.156017,0.079459
200049841,220428175,GBPJPY,240,,2.036000,0.293000,,,
200049844,220418158,GBPJPY,240,,0.199000,3.443000,,,
200049875,800413945,GER40,240,,79.500000,27.300000,,,
200052834,223038149,GBPJPY,30,0.239857,0.229000,3.361000,0.954735,14.012507,14.676856
200054172,220177157,GBPJPY,60,0.367143,3.025000,0.000000,8.239300,0.000000,0.000000
200054295,223012186,GBPJPY,30,0.244929,0.154000,3.680000,0.628755,15.024789,23.896104
200054982,220198149,GBPJPY,60,0.278643,0.075000,2.783000,0.269162,9.987695,37.106667
200056802,220175167,GBPJPY,60,0.325214,0.377000,2.916000,1.159236,8.966396,7.734748
200062248,120156886,GBPUSD,60,0.001481,0.014340,0.001670,9.684515,1.127834,0.116457
200064541,22011865,GBPJPY,60,0.325214,0.225000,1.942000,0.691852,5.971447,8.631111
200074584,221510100,GBPJPY,15,0.205643,0.589000,2.704000,2.864189,13.149010,4.590832
200076046,91041141,XAUUSD,240,,8.250000,18.350000,,,
200084905,120100069,GBPUSD,60,0.001215,0.000840,0.006120,0.691358,5.037037,7.285714
200085980,800413945,GER40,240,89.707143,17.400000,95.100000,0.193964,1.060116,5.465517
200086134,11151429,EURUSD,15,0.000948,0.005050,0.000450,5.327807,0.474755,0.089109
200086682,12011595,GBPUSD,60,0.002301,0.004200,0.004740,1.825520,2.060230,1.128571
200090821,910142103,XAUUSD,60,4.083571,31.230000,4.920000,7.647717,1.204828,0.157541
200090896,120122468,GBPUSD,60,0.001569,0.007190,0.001030,4.581702,0.656350,0.143255
200092027,110112110,EURUSD,60,0.001836,0.002980,0.000460,1.622715,0.250486,0.154362
200092086,120176143,GBPUSD,60,0.001569,0.013610,0.002400,8.672736,1.529358,0.176341
200092087,120112185,GBPUSD,60,0.001569,0.013220,0.002790,8.424215,1.777879,0.211044
200098080,913073101,XAUUSD,30,3.731429,36.480000,1.580000,9.776417,0.423430,0.043311
200103270,910143114,XAUUSD,60,4.083571,11.780000,11.970000,2.884730,2.931258,1.016129
200104647,910424666,XAUUSD,240,9.876429,15.530000,6.330000,1.572431,0.640920,0.407598
200106001,913016114,XAUUSD,30,3.731429,34.660000,4.920000,9.288668,1.318530,0.141950
200106702,11151710,EURUSD,15,0.000854,0.005690,0.000560,6.666109,0.656067,0.098418
200107567,800413945,GER40,240,79.357143,54.700000,214.200000,0.689289,2.699190,3.915905
200108626,17011586,USDJPY,60,0.392286,0.404000,0.707000,1.029862,1.802258,1.750000
200111095,11012014,EURUSD,60,0.001836,0.003000,0.002990,1.633606,1.628160,0.996667
200117669,11042362,EURUSD,240,0.003213,0.011930,0.002120,3.713206,0.659849,0.177703
200122933,91303683,XAUUSD,30,3.847143,3.410000,5.330000,0.886372,1.385444,1.563050
200125946,91014861,XAUUSD,60,4.473571,1.060000,6.010000,0.236947,1.343446,5.669811
200129099,110112110,EURUSD,60,0.001236,0.002750,0.000700,2.225434,0.566474,0.254545
200129222,20153090,EURJPY,15,0.085714,,,,,
200129593,223022483,GBPJPY,30,0.188143,0.091000,1.038000,0.483675,5.517084,11.406593
200129608,913073101,XAUUSD,30,3.847143,8.400000,3.690000,2.183439,0.959153,0.439286
200129806,221585147,GBPJPY,15,0.152857,0.025000,1.883000,0.163551,12.318692,75.320000
200129847,910142103,XAUUSD,60,5.883571,4.340000,12.260000,0.737647,2.083768,2.824885
200130463,910424666,XAUUSD,240,9.605000,1.840000,19.630000,0.191567,2.043727,10.668478
200131072,203031880,EURJPY,30,0.131643,0.177000,1.853000,1.344547,14.075963,10.468927
200131337,120156886,GBPUSD,60,0.001289,0.003790,0.007460,2.941242,5.789357,1.968338
200132257,220428175,GBPJPY,240,0.581429,0.051000,1.857000,0.087715,3.193857,36.411765
200132260,220131160,GBPJPY,60,0.237429,0.054000,1.854000,0.227437,7.808664,34.333333
200132263,22042161,GBPJPY,240,0.579786,0.176000,2.289000,0.303560,3.948010,13.005682
200132266,22045560,GBPJPY,240,0.581429,0.069000,1.839000,0.118673,3.162899,26.652174
200132275,91041141,XAUUSD,240,11.194286,16.590000,16.650000,1.482006,1.487366,1.003617
200132592,223038149,GBPJPY,30,0.228000,0.907000,0.030000,3.978070,0.131579,0.033076
200132828,221518164,GBPJPY,15,0.115214,0.089000,1.291000,0.772474,11.205208,14.505618
200132829,220149150,GBPJPY,60,0.239429,0.127000,1.580000,0.530430,6.599045,12.440945
200132831,910122169,XAUUSD,60,4.319286,15.000000,15.640000,3.472796,3.620969,1.042667
200133869,220163569,GBPJPY,60,0.237429,0.058000,1.850000,0.244284,7.791817,31.896552
200133873,220198149,GBPJPY,60,0.239071,0.120000,1.122000,0.501942,4.693158,9.350000
200133917,20153090,EURJPY,15,0.122929,0.259000,0.889000,2.106915,7.231842,3.432432
200134951,220175167,GBPJPY,60,0.246071,0.739000,0.952000,3.003193,3.868795,1.288227
200137881,220132119,GBPJPY,60,0.239857,0.201000,1.677000,0.837999,6.991662,8.343284
200140422,220177157,GBPJPY,60,0.239857,0.226000,1.652000,0.942228,6.887433,7.309735
200141056,221513194,GBPJPY,15,0.167429,1.425000,0.288000,8.511092,1.720137,0.202105
200149740,223023153,GBPJPY,30,0.183143,0.121000,1.586000,0.660686,8.659906,13.107438
200152570,910142103,XAUUSD,60,5.672143,8.270000,3.550000,1.458003,0.625866,0.429262
200153286,120143281,GBPUSD,60,0.001520,0.003420,0.001590,2.250000,1.046053,0.464912
200153616,220149150,GBPJPY,60,0.341714,1.273000,0.112000,3.725334,0.327759,0.087981
200154696,220156108,GBPJPY,60,0.298714,0.262000,2.118000,0.877092,7.090387,8.083969
200154698,220421159,GBPJPY,240,0.581429,0.054000,1.854000,0.092875,3.188698,34.333333
200154718,910424666,XAUUSD,240,9.452143,8.070000,0.560000,0.853775,0.059246,0.069393
200155003,223022108,GBPJPY,30,0.252000,0.682000,0.000000,2.706349,0.000000,0.000000
200155162,220154117,GBPJPY,60,0.240071,1.119000,0.317000,4.661113,1.320440,0.283289
200155163,223030112,GBPJPY,30,0.171786,0.246000,2.134000,1.432017,12.422453,8.674797
200155164,220141135,GBPJPY,60,0.341714,1.541000,0.107000,4.509615,0.313127,0.069435
200155515,220118191,GBPJPY,60,0.342429,1.191000,0.245000,3.478098,0.715478,0.205709
200156412,22043162,GBPJPY,240,0.581429,0.071000,1.837000,0.122113,3.159459,25.873239
200159619,91303683,XAUUSD,30,6.005000,6.390000,2.760000,1.064113,0.459617,0.431925
200161860,120112185,GBPUSD,60,0.001288,0.007510,0.002050,5.831392,1.591791,0.272969
200163613,850443362,NAS100,240,96.492857,25.500000,100.500000,0.264268,1.041528,3.941176
200165129,91014861,XAUUSD,60,5.672143,11.610000,3.360000,2.046845,0.592369,0.289406
200167156,120176143,GBPUSD,60,0.001666,0.002610,0.002400,1.566224,1.440206,0.919540
200168672,22012413,GBPJPY,60,0.249214,0.063000,1.507000,0.252794,6.047005,23.920635
200172475,120100069,GBPUSD,60,0.001288,0.006280,0.001980,4.876317,1.537438,0.315287
200177737,913016114,XAUUSD,30,5.692143,2.890000,4.070000,0.507717,0.715021,1.408304
200179251,910142147,XAUUSD,60,4.816429,18.010000,2.800000,3.739285,0.581344,0.155469
200179255,910143114,XAUUSD,60,4.255714,13.440000,5.650000,3.158107,1.327627,0.420387
200179726,120143281,GBPUSD,60,0.002270,0.009070,0.000490,3.995595,0.215859,0.054024
200188527,12011595,GBPUSD,60,0.001741,0.004320,0.000000,2.481740,0.000000,0.000000
200191750,910424666,XAUUSD,240,9.903571,2.420000,21.960000,0.244356,2.217382,9.074380
200192665,11151429,EURUSD,15,0.001136,0.004200,0.000760,3.695789,0.668762,0.180952
200201013,221513194,GBPJPY,15,0.192643,1.227000,0.241000,6.369299,1.251020,0.196414
200202413,17018110,USDJPY,60,0.273143,0.230000,0.589000,0.842050,2.156381,2.560870
200205092,17011586,USDJPY,60,0.349429,0.164000,0.435000,0.469338,1.244890,2.652439
200205172,120122468,GBPUSD,60,0.002609,0.006270,0.000350,2.402956,0.134136,0.055821
200207948,910143114,XAUUSD,60,4.088571,2.420000,21.960000,0.591894,5.371069,9.074380
200214950,800422153,GER40,240,78.914286,19.000000,105.200000,0.240768,1.333092,5.536842
200214958,800422054,GER40,240,78.914286,19.000000,105.200000,0.240768,1.333092,5.536842
200221208,91303683,XAUUSD,30,4.477857,1.110000,8.670000,0.247886,1.936194,7.810811
200234499,91041141,XAUUSD,240,11.310000,4.880000,2.380000,0.431477,0.210433,0.487705
200242055,22042161,GBPJPY,240,0.534071,0.665000,3.317000,1.245152,6.210780,4.987970
200242057,220428175,GBPJPY,240,0.454714,0.109000,3.155000,0.239711,6.938423,28.944954
200242058,220131160,GBPJPY,60,0.175357,0.415000,3.567000,2.366599,20.341344,8.595181
200242065,221575192,GBPJPY,15,0.177071,0.147000,3.019000,0.830173,17.049617,20.537415
200242860,220163569,GBPJPY,60,0.297571,0.117000,3.049000,0.393183,10.246279,26.059829
200244924,913016114,XAUUSD,30,4.671429,1.820000,8.500000,0.389602,1.819572,4.670330
200246848,223022483,GBPJPY,30,0.184643,0.691000,3.291000,3.742360,17.823598,4.762663
200255232,22045560,GBPJPY,240,0.534071,0.666000,2.506000,1.247024,4.692256,3.762763
200255257,22042132,GBPJPY,240,0.534071,0.733000,3.249000,1.372476,6.083456,4.432469
200259012,910122169,XAUUSD,60,6.112143,13.540000,9.360000,2.215262,1.531378,0.691285
200284938,120100069,GBPUSD,60,0.002437,0.005930,0.002130,2.433177,0.873974,0.359191
200285025,800413945,GER40,240,66.250000,286.400000,295.700000,4.323019,4.463396,1.032472
200292520,223023153,GBPJPY,30,0.184643,0.807000,3.175000,4.370600,17.195358,3.934325
200295547,223011130,GBPJPY,30,0.184643,0.671000,3.311000,3.634043,17.931915,4.934426
200305010,203031880,EURJPY,30,0.178000,0.066000,2.001000,0.370787,11.241573,30.318182
200305403,20153090,EURJPY,15,0.059643,0.150000,0.003000,2.514970,0.050299,0.020000
