Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE
252691897,811521059,US30,15,1.0,0.0,1.0,0.0,88.0,88.0,88.0,30.0,29.0,-202.0,59.0,31.0,22.0,0.0,95.0
252692837,852412345,NAS100,1440,6.0,0.3,2.0,-0.4,-264.2999999999993,-57.099999999998545,-250.70000000000073,-148.29999999999927,-207.5,-275.7999999999993,-441.5,-431.2999999999993,,296.2999999999993,50.20000000000073
252696871,110112125,EURUSD,60,10.0,-0.4,11.0,-0.5,-0.004999999999999893,-0.003249999999999975,-0.0008799999999999919,-0.004429999999999934,-0.00495000000000001,-0.0011999999999998678,-2.999999999997449e-05,-0.0011699999999998933,-0.0020099999999998452,0.005269999999999886,0.0011799999999999589
252700474,811521059,US30,15,1.0,0.0,8.0,-0.4,26.0,26.0,108.0,108.0,83.0,,72.0,157.0,117.0,0.0,162.0
252728129,913034165,XAUUSD,30,7.0,-0.5,5.0,-0.3,4.5,14.690000000000055,9.269999999999982,2.630000000000109,10.11999999999989,-8.029999999999745,1.430000000000291,8.61999999999989,-4.859999999999673,2.5399999999999636,10.990000000000236
252737571,170411751,USDJPY,240,11.0,-0.3,10.0,-0.5,-0.75,-0.32799999999997453,-0.05500000000000682,-0.4720000000000084,-0.5120000000000005,0.13100000000000023,-0.054000000000002046,-0.6690000000000111,-0.38800000000000523,0.7550000000000239,0.0
252738311,223034156,GBPJPY,30,11.0,-0.3,4.0,-0.2,0.5579999999999927,1.9070000000000107,0.7189999999999941,-0.3140000000000214,0.04399999999998272,,-0.15000000000000568,-0.07900000000000773,-0.029000000000024784,0.6180000000000234,0.8349999999999795
252759200,852412345,NAS100,1440,5.0,0.4,1.0,0.0,6.099999999998545,114.59999999999854,6.099999999998545,-122.40000000000146,,78.29999999999927,176.59999999999854,,,173.40000000000146,21.599999999998545
252762522,913034165,XAUUSD,30,6.0,-0.4,7.0,-0.1,0.9699999999997999,7.690000000000055,5.460000000000036,4.860000000000127,6.670000000000073,,3.8600000000001273,3.6900000000000546,,0.3000000000001819,7.110000000000127
252770057,822412345,US500,1440,6.0,0.4,6.0,0.1,-6.600000000000364,4.899999999999636,-2.800000000000182,-13.300000000000182,-12.300000000000182,-6.300000000000182,,,-50.100000000000364,14.300000000000182,1.199999999999818
