Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,TimeToMAE_s,TimeToMFE_s
199844754,91303683,XAUUSD,30,7.00000,-0.50000,1.00000,0.00000,8.22000,11.50000,8.22000,6.91000,5.41000,8.10000,3.64000,6.18000,4.53000,1.34000,8.84000,126.00000,3186.00000
199957108,120100069,GBPUSD,60,6.00000,-0.50000,2.00000,0.50000,0.00600,0.01100,0.00636,0.00634,0.00453,0.00190,0.00248,0.00384,0.00532,0.00024,0.00620,91.00000,10051.00000
200011270,120100069,GBPUSD,60,7.00000,-0.50000,7.00000,0.10000,-0.00550,0.00091,0.00176,,,,0.00218,0.00059,-0.00078,0.00550,0.00408,239038.00000,2578.00000
200026314,220156108,GBPJPY,60,5.00000,0.10000,1.00000,0.00000,3.68100,4.91300,3.68100,-1.26900,-0.79000,1.25300,-0.48300,-0.48500,-0.94300,1.72900,3.83800,22480.00000,281020.00000
200026315,203031880,EURJPY,30,8.00000,-0.40000,4.00000,-0.10000,1.66400,3.08300,2.13100,0.37700,1.55000,1.57400,-0.01700,-0.19600,-0.22000,0.69700,2.23000,23499.00000,159999.00000
200026317,220159174,GBPJPY,60,5.00000,0.10000,1.00000,0.00000,3.83600,5.14300,3.83600,-1.01100,1.35300,3.13800,-0.15200,0.17300,-0.18400,1.57600,3.99100,27500.00000,286040.00000
200026371,220141135,GBPJPY,60,6.00000,-0.40000,1.00000,0.00000,2.96100,4.87300,2.96100,0.01900,0.97200,2.47300,0.14600,0.27600,0.46300,0.17800,3.11500,32045.00000,170885.00000
200026372,223071158,GBPJPY,30,6.00000,0.20000,5.00000,0.30000,3.00600,4.20500,3.77200,-1.07800,-1.01200,1.09500,-0.01000,0.19600,-0.04100,1.61300,3.43000,25078.00000,200158.00000
200026373,223038149,GBPJPY,30,9.00000,0.50000,9.00000,-0.30000,-1.25200,-0.64500,-0.40000,-1.50400,-1.14900,0.39800,-0.12200,-0.15200,0.14900,1.25000,0.33900,26600.00000,6740.00000
200026499,223012186,GBPJPY,30,11.00000,0.50000,10.00000,-0.40000,-1.63500,-0.47700,-0.73600,-1.39900,-1.34800,0.72800,-0.63200,-0.62700,-0.67800,1.63200,0.00000,20097.00000,
